season,datetime,home_team,away_team,home_goals,away_goals,spurs_goals,spurs_conceded,spurs_xG,spurs_xGA,spurs_result
2022,2022-08-06 14:00:00,Tottenham,Southampton,4,1,4,1,1.6172,0.386546,W
2022,2022-08-14 15:30:00,Chelsea,Tottenham,2,2,2,2,1.58708,1.83945,D
2022,2022-08-20 11:30:00,Tottenham,Wolverhampton Wanderers,1,0,1,0,1.46608,0.686123,W
2022,2022-08-28 15:30:00,Nottingham Forest,Tottenham,0,2,2,0,2.44473,0.801369,W
2022,2022-08-31 18:45:00,West Ham,Tottenham,1,1,1,1,0.723285,1.52267,D
2022,2022-09-03 14:00:00,Tottenham,Fulham,2,1,2,1,2.67823,0.381556,W
2022,2022-09-17 16:30:00,Tottenham,Leicester,6,2,6,2,1.98619,1.59449,W
2022,2022-10-01 11:30:00,Arsenal,Tottenham,3,1,1,3,1.5027,2.48403,L
2022,2022-10-08 16:30:00,Brighton,Tottenham,0,1,1,0,0.771641,0.899735,W
2022,2022-10-15 16:30:00,Tottenham,Everton,2,0,2,0,2.49409,0.560039,W
2022,2022-10-19 19:15:00,Manchester United,Tottenham,2,0,0,2,0.658526,1.70973,L
2022,2022-10-23 15:30:00,Tottenham,Newcastle United,1,2,1,2,1.56513,1.1294,L
2022,2022-10-29 14:00:00,Bournemouth,Tottenham,2,3,3,2,2.1946,0.887533,W
2022,2022-11-06 16:30:00,Tottenham,Liverpool,1,2,1,2,1.81736,1.46548,L
2022,2022-11-12 15:00:00,Tottenham,Leeds,4,3,4,3,2.58046,1.71731,W
2022,2022-12-26 12:30:00,Brentford,Tottenham,2,2,2,2,0.883787,2.25263,D
2022,2023-01-01 14:00:00,Tottenham,Aston Villa,0,2,0,2,0.569383,1.21733,L
2022,2023-01-04 20:00:00,Crystal Palace,Tottenham,0,4,4,0,1.66514,0.787525,W
2022,2023-01-15 16:30:00,Tottenham,Arsenal,0,2,0,2,1.71032,2.04232,L
2022,2023-01-19 19:00:00,Manchester City,Tottenham,4,2,2,4,1.16499,2.34166,L
2022,2023-01-23 20:00:00,Fulham,Tottenham,0,1,1,0,0.993805,1.09339,W
