season,team,interval,shots,goals,xG,shots_against,goals_against,xGA
2021,Arsenal,1-15,81,12,9.51079197973013,53,6,5.800124519504607
2021,Arsenal,16-30,97,14,11.954484675079584,61,5,4.698751371819526
2021,Arsenal,31-45,97,5,10.802890254184604,62,9,6.827176691032946
2021,Arsenal,46-60,104,14,11.12857636064291,77,9,8.016164748929441
2021,Arsenal,61-75,101,5,10.09480319917202,76,9,11.756934822537005
2021,Arsenal,76+,107,11,12.056325437501073,97,10,12.463131825905293
2021,Chelsea,1-15,92,11,11.125773094594479,46,3,4.019774147309363
2021,Chelsea,16-30,87,11,8.826731430366635,53,4,5.76612641569227
2021,Chelsea,31-45,89,12,10.3122902456671,50,2,5.537781665567309
2021,Chelsea,46-60,110,19,13.482942076399922,71,11,8.480069763027132
2021,Chelsea,61-75,91,7,10.151684182696044,49,4,4.985595480538905
2021,Chelsea,76+,124,16,17.602894952520728,70,9,7.383800407871604
2021,Liverpool,1-15,104,12,15.115424522198737,46,7,6.889058501459658
2021,Liverpool,16-30,110,17,14.79991636890918,44,2,5.773253466002643
2021,Liverpool,31-45,128,14,16.582100641913712,47,5,5.167140269652009
2021,Liverpool,46-60,139,12,14.103246811777353,58,4,5.950063885189593
2021,Liverpool,61-75,117,18,14.754311154596508,42,6,5.275464111939073
2021,Liverpool,76+,131,21,20.037835024297237,60,2,5.047651468310505
2021,Manchester City,1-15,106,20,17.722091619856656,35,5,3.322390606161207
2021,Manchester City,16-30,103,14,12.76712648756802,37,4,3.186921887099743
2021,Manchester City,31-45,114,11,14.788691215217113,28,3,2.2069862550124526
2021,Manchester City,46-60,137,13,14.701870631426573,51,6,6.2070836294442415
2021,Manchester City,61-75,121,19,16.667163128964603,34,4,4.610306814312935
2021,Manchester City,76+,136,22,22.614616201259196,52,4,6.033096109051257
2021,Manchester United,1-15,82,5,9.741868688724935,84,9,10.977379069663584
2021,Manchester United,16-30,85,6,8.756106853950769,80,7,9.417722054757178
2021,Manchester United,31-45,81,9,8.284432869404554,92,8,11.287560914643109
2021,Manchester United,46-60,95,12,11.416753026191145,86,14,10.228162507526577
2021,Manchester United,61-75,80,13,10.881011779420078,73,7,8.21983251767233
2021,Manchester United,76+,86,12,9.683881702832878,99,12,10.713620361872017
2021,Tottenham,1-15,67,11,9.653542576357722,70,4,5.912873027846217
2021,Tottenham,16-30,74,9,9.767179699614644,67,5,5.285210815258324
2021,Tottenham,31-45,81,12,12.973688079044223,93,8,9.013769818469882
2021,Tottenham,46-60,105,13,16.537654909305274,103,4,7.0071049481630325
2021,Tottenham,61-75,79,14,15.189049207605422,82,8,8.999713996425271
2021,Tottenham,76+,92,10,10.867924081161618,75,11,9.203439343720675
2022,Arsenal,1-15,97,14,13.810264138504863,42,5,5.151712452061474
2022,Arsenal,16-30,81,15,10.752547562122345,51,6,7.067926235496998
2022,Arsenal,31-45,84,11,9.90825039986521,46,5,6.95783459674567
2022,Arsenal,46-60,134,20,18.731884724460542,67,9,10.260815129615366
2022,Arsenal,61-75,75,14,11.536642797291279,60,12,9.032259780913591
2022,Arsenal,76+,125,14,16.623476947657764,76,6,7.968968717381358
2022,Chelsea,1-15,65,7,9.590704537928104,62,7,9.752695517614484
2022,Chelsea,16-30,74,4,7.405882585793734,64,8,6.7498882887884974
2022,Chelsea,31-45,80,1,8.554025716148317,70,10,9.310014707967639
2022,Chelsea,46-60,102,11,10.558907059021294,94,2,11.909489414654672
2022,Chelsea,61-75,78,6,7.819625083357096,77,13,11.008927107788622
2022,Chelsea,76+,84,9,9.159464832395315,74,7,9.564340102486312
2022,Liverpool,1-15,68,13,11.103018684312701,63,10,12.843793906271458
2022,Liverpool,16-30,94,7,11.585155857726932,66,8,10.30934090493247
2022,Liverpool,31-45,101,17,14.994477053172886,54,6,7.369724342599511
2022,Liverpool,46-60,127,11,16.42911279015243,78,10,11.249381282366812
2022,Liverpool,61-75,88,14,14.958886718377471,46,7,8.13203071244061
2022,Liverpool,76+,132,13,16.020378028042614,64,6,9.071504730731249
2022,Manchester City,1-15,107,13,13.152172672562301,29,4,4.582506384700537
2022,Manchester City,16-30,91,14,12.62841999065131,38,4,5.524365804158151
2022,Manchester City,31-45,111,21,16.902275728061795,50,4,5.683483739383519
2022,Manchester City,46-60,101,18,15.388782841153443,51,5,3.7110884888097644
2022,Manchester City,61-75,97,19,15.809320904314518,51,6,5.341001246124506
2022,Manchester City,76+,95,9,13.665875630453229,75,10,10.653205845505
2022,Manchester United,1-15,90,7,9.849691106937826,60,6,7.244893494993448
2022,Manchester United,16-30,100,7,12.556179800070822,73,6,7.807637397199869
2022,Manchester United,31-45,105,11,13.429327429272234,67,6,7.371672576293349
2022,Manchester United,46-60,96,10,10.839185289107263,92,9,10.24911256507039
2022,Manchester United,61-75,94,11,11.888251232914627,87,6,9.750846404582262
2022,Manchester United,76+,109,12,17.182452568784356,101,10,9.28226304333657
2022,Tottenham,1-15,69,8,7.638104261830449,81,14,10.37360773794353
2022,Tottenham,16-30,73,7,7.365678359754384,82,8,5.699482559226453
2022,Tottenham,31-45,66,9,7.997466115280986,90,9,9.709003685042262
2022,Tottenham,46-60,117,13,14.285550494678319,103,11,10.83532291278243
2022,Tottenham,61-75,91,17,11.876870824955404,82,9,7.459652568213642
2022,Tottenham,76+,106,16,11.273399490397424,82,12,8.949331052601337
2023,Arsenal,1-15,99,12,12.764715453609824,41,4,5.747806868050247
2023,Arsenal,16-30,107,13,15.28627317538485,48,4,4.24241612944752
2023,Arsenal,31-45,113,16,19.815629748627543,45,2,4.0146940760314465
2023,Arsenal,46-60,132,14,17.40613636840135,65,9,6.941211698576808
2023,Arsenal,61-75,81,16,8.393317957408726,53,2,4.111724926158786
2023,Arsenal,76+,130,20,17.722067332826555,71,8,8.192462919745594
2023,Chelsea,1-15,85,9,8.764345632866025,72,7,7.711631172336638
2023,Chelsea,16-30,87,15,12.561027397867292,75,6,8.735143578611314
2023,Chelsea,31-45,77,12,12.910046314820647,78,10,8.148246170952916
2023,Chelsea,46-60,112,9,18.049199688248336,131,13,18.755607505328953
2023,Chelsea,61-75,81,15,14.71678280737251,67,9,6.260751636698842
2023,Chelsea,76+,107,17,15.848547683097422,136,18,17.260135144926608
2023,Liverpool,1-15,102,5,10.244975838810205,58,8,7.41361016407609
2023,Liverpool,16-30,117,12,14.791969337966293,46,6,5.754867829848081
2023,Liverpool,31-45,133,13,16.80072687752545,58,5,6.008634430356324
2023,Liverpool,46-60,160,17,24.396731857210398,81,7,9.269106953404844
2023,Liverpool,61-75,127,14,17.593505159951746,61,5,7.9948649210855365
2023,Liverpool,76+,157,25,19.281976372003555,111,10,13.633847940247506
2023,Manchester City,1-15,118,13,16.686308339238167,36,4,3.7984679751098156
2023,Manchester City,16-30,121,16,15.248775919899344,35,4,3.960975314490497
2023,Manchester City,31-45,112,10,10.721984829753637,53,7,6.700721511617303
2023,Manchester City,46-60,139,17,17.77011044509709,56,3,8.191475629806519
2023,Manchester City,61-75,93,21,13.666763542219996,56,7,7.850206196308136
2023,Manchester City,76+,114,19,18.18990335892886,58,9,8.314516937360168
2023,Manchester United,1-15,96,7,9.146466709673405,81,7,8.109937676228583
2023,Manchester United,16-30,70,9,8.422146729193628,117,11,12.785794239491224
2023,Manchester United,31-45,80,6,7.36067246645689,106,6,10.950762206688523
2023,Manchester United,46-60,99,8,12.413172646425664,129,8,16.739357984624803
2023,Manchester United,61-75,94,11,11.639716824516654,81,9,9.416608734987676
2023,Manchester United,76+,110,16,11.835533536039293,153,17,18.748000198975205
2023,Tottenham,1-15,76,12,10.713348969817162,88,8,14.168163795024157
2023,Tottenham,16-30,84,5,9.597447903826833,72,12,11.44559244159609
2023,Tottenham,31-45,72,8,8.76541502494365,84,8,10.864182781428099
2023,Tottenham,46-60,128,20,17.975498837884516,91,12,14.519956544972956
2023,Tottenham,61-75,103,10,11.646523603238165,46,8,6.742428845260292
